misalignment_index,cam_roll_deg,cam_pitch_deg,cam_yaw_deg,yaw_index,car_roll_deg,car_pitch_deg,car_yaw_deg,weighted_rmse
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,31,0.0,-0.0,-24.999999999999996,0.000777797946615349
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,32,0.0,-0.0,-20.0,0.0007757216875272006
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,33,0.0,-0.0,-15.000000000000009,0.0007744580296679171
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,34,0.0,-0.0,-10.000000000000014,0.0007740777124444336
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,35,0.0,-0.0,-4.999999999999995,0.0007746054758477442
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,36,0.0,-0.0,0.0,0.0007760177575824756
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,37,0.0,-0.0,4.999999999999995,0.0007782481469435998
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,38,0.0,-0.0,9.999999999999988,0.0007811950912463917
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,39,0.0,-0.0,15.000000000000009,0.0007847292329614224
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,40,0.0,-0.0,20.0,0.0007887051838616688
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,41,0.0,-0.0,24.999999999999996,0.0007929681471255828
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,42,0.0,-0.0,29.999999999999993,0.0007973607842352858
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,43,0.0,-0.0,34.99999999999999,0.0008017294773691409
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,44,0.0,-0.0,40.000000000000014,0.0008059334696987065
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,45,0.0,-0.0,45.00000000000001,0.0008098467262792939
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,46,0.0,-0.0,49.99999999999999,0.0008133547105232929
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,47,0.0,-0.0,54.99999999999999,0.0008163610680759475
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,48,0.0,-0.0,59.999999999999986,0.0008187937626924329
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,49,0.0,-0.0,64.99999999999997,0.0008206062721094537
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,50,0.0,-0.0,69.99999999999997,0.0008217784443664466
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,51,0.0,-0.0,75.00000000000001,0.0008223131852052886
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,52,0.0,-0.0,80.00000000000001,0.0008222302348632718
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,53,0.0,-0.0,85.0,0.0008215595120907957
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,54,0.0,-0.0,89.99999999999999,0.000820335464118308
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,55,0.0,-0.0,95.0,0.0008185929941571465
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,56,0.0,-0.0,99.99999999999997,0.0008163665164830296
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,57,0.0,-0.0,104.99999999999999,0.000813691444653218
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,58,0.0,-0.0,109.99999999999997,0.000810607872423184
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,59,0.0,-0.0,114.99999999999997,0.0008071646484544776
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,60,0.0,-0.0,120.00000000000001,0.0008034231850271829
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,61,0.0,-0.0,125.00000000000001,0.0007994608097759381
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,62,0.0,-0.0,130.0,0.0007953734281723562
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,63,0.0,-0.0,135.0,0.0007912751806671715
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,64,0.0,-0.0,140.0,0.0007872975465452501
